17, 8/8, 1, 1/3, 2, 1, NONE, reachable, 272
25, 19/19, 26, 19/19, 32, 5, NONE, reachable, 376
57, 75/75, 2, 1/3, 2, 1, NONE, reachable, 403
101, 154/154, 3, 11/28, 128, 7, NONE, reachable, 629
152, 736/736, 2, 1/4, 2, 1, NONE, reachable, 865
273, 1885/1885, 48, 1/3, 2, 1, NONE, reachable, 1185
1930, 14857/14857, 2, 1/4, 2, 1, NONE, reachable, 4001
7156, 74324/74324, 2, 1/4, 2, 1, NONE, reachable, 13100
8300, 111800/111800, 2, 1/3, 2, 1, NONE, reachable, 15306
12176, 149156/149156, 2, 1/4, 2, 1, NONE, reachable, 20885
14, 8/8, 1, 1/3, 2, 1, NONE, reachable, 431
89, 20/21, 26, 19/19, 32, 5, NONE, reachable, 548
184, 80/87, 2, 1/3, 2, 1, NONE, reachable, 522
121, 169/176, 2, 12/29, 128, 7, NONE, reachable, 741
662, 818/871, 2, 1/4, 2, 1, NONE, reachable, 1279
1242, 2078/2200, 1, 1/3, 2, 1, NONE, reachable, 2097
2629, 16393/17535, 2, 1/4, 2, 1, NONE, reachable, 4431
10174, 78049/81206, 2, 1/4, 2, 1, NONE, reachable, 14783
14267, 120990/127711, 2, 1/3, 2, 1, NONE, reachable, 20139
19512, 164879/176062, 22, 1/4, 2, 1, NONE, reachable, 28186
398, 1694/2225, 34, 6/1414, 64, 6, NONE, reachable, 1739
913, 3384/4445, 65, 6/2824, 64, 6, NONE, reachable, 2352
1441, 5074/6665, 84, 6/4234, 64, 6, NONE, reachable, 3621
1538, 6764/8885, 130, 6/5644, 64, 6, NONE, reachable, 4194
